Time,DEV Total Gi Traffic In Bit Rate (bits / sec),DEV Total Gi Traffic Out Bit Rate (bits / sec),
8/24/19 at 9:15 AM,3.2478820689324448E10,3.1779074234755554E9,
8/24/19 at 9:30 AM,3.415423436281778E10,3.4069745672177777E9,
8/24/19 at 9:45 AM,3.5681607365475555E10,3.59843008888E9,
8/24/19 at 10:00 AM,3.710781645318222E10,3.8724732458933334E9,
8/24/19 at 10:15 AM,3.9500221547070564E10,3.987162484908374E9,
8/24/19 at 10:30 AM,4.141328691539555E10,4.0944060944800005E9,
8/24/19 at 10:45 AM,4.311166207045252E10,4.263528115838092E9,
8/24/19 at 11:00 AM,4.4817196761342224E10,4.467509663822222E9,
8/24/19 at 11:15 AM,3.850625741333333E10,3.905793491884444E9,
8/24/19 at 11:30 AM,4.255319038150223E10,4.32603795684E9,
8/24/19 at 11:45 AM,5.0277259206026665E10,5.121483670577778E9,
8/24/19 at 12:00 PM,5.18590263833448E10,5.340147732476892E9,
8/24/19 at 12:15 PM,5.364723282618541E10,5.49820835295657E9,
8/24/19 at 12:30 PM,5.468672901722902E10,5.66419171755891E9,
8/24/19 at 12:45 PM,5.5830455758909454E10,5.834573168884598E9,
8/24/19 at 1:00 PM,5.655179198950221E10,5.909106721921046E9,
8/24/19 at 1:15 PM,5.651667051840889E10,5.936667936986667E9,
8/24/19 at 1:30 PM,5.7937037569344574E10,5.932751354357084E9,
8/24/19 at 1:45 PM,5.994851225329208E10,6.275769754338596E9,
8/24/19 at 2:00 PM,6.0695635687381195E10,6.429375988860888E9,
8/24/19 at 2:15 PM,6.226982763032001E10,6.521417561546667E9,
8/24/19 at 2:30 PM,6.329539199024E10,6.597531571102222E9,
8/24/19 at 2:45 PM,6.4118341349662224E10,6.7417826644800005E9,
8/24/19 at 3:00 PM,6.433300966641942E10,6.738826281019815E9,
8/24/19 at 3:15 PM,6.501006093173334E10,6.809646648231112E9,
8/24/19 at 3:30 PM,6.526919477718222E10,7.060383305217777E9,
8/24/19 at 3:45 PM,6.483720613491722E10,6.923720567620766E9,
8/24/19 at 4:00 PM,6.408562876211545E10,6.93884070459378E9,
8/24/19 at 4:15 PM,6.441672488197275E10,7.008386195604994E9,
8/24/19 at 4:30 PM,5.235481053359137E10,5.656052977403723E9,
8/24/19 at 4:45 PM,5.433152638224072E10,6.012704638322779E9,
8/24/19 at 5:00 PM,6.166891427852118E10,6.7790661986895275E9,
8/24/19 at 5:15 PM,6.1234127992737854E10,6.822674910125658E9,
8/24/19 at 5:30 PM,6.207132066391112E10,6.847628513128889E9,
8/24/19 at 5:45 PM,6.244416727253819E10,6.9160789994848995E9,
8/24/19 at 6:00 PM,6.220197699522492E10,6.833766363578444E9,
8/24/19 at 6:15 PM,6.235303628428444E10,6.940555932728889E9,
8/24/19 at 6:30 PM,6.263389391313777E10,7.004291716506666E9,
8/24/19 at 6:45 PM,6.353998680580148E10,7.099304766969956E9,
8/24/19 at 7:00 PM,6.342603216341333E10,7.11122792832E9,
8/24/19 at 7:15 PM,6.357505554978392E10,7.18080812482848E9,
8/24/19 at 7:30 PM,6.361259965931282E10,7.175921291331572E9,
8/24/19 at 7:45 PM,6.418070604215189E10,7.2294837751316805E9,
8/24/19 at 8:00 PM,6.542235043116283E10,7.241045290186075E9,
8/24/19 at 8:15 PM,6.7732227070796364E10,7.389943361107986E9,
8/24/19 at 8:30 PM,6.926622442905103E10,7.593166031638626E9,
8/24/19 at 8:45 PM,6.927387850622516E10,7.57662643291253E9,
8/24/19 at 9:00 PM,7.049488926100444E10,7.79297624439111E9,
8/24/19 at 9:15 PM,7.145056969529778E10,7.790334782506666E9,
8/24/19 at 9:30 PM,7.22964332825747E10,7.887275520852049E9,
8/24/19 at 9:45 PM,7.248603346740767E10,8.006931136490921E9,
8/24/19 at 10:00 PM,7.272793577598183E10,8.022832887348785E9,
8/24/19 at 10:15 PM,7.301690375006737E10,8.148942593297986E9,
8/24/19 at 10:30 PM,7.429095220955688E10,8.1667425753520775E9,
8/24/19 at 10:45 PM,7.50735293526311E10,8.160995115982222E9,
8/24/19 at 11:00 PM,7.59405311717635E10,8.339159884105513E9,
8/24/19 at 11:15 PM,7.61996222786693E10,8.257260655767495E9,
8/24/19 at 11:30 PM,7.686984208138667E10,8.263082372871111E9,
8/24/19 at 11:45 PM,7.689142035125333E10,8.28453111648E9,
8/25/19 at 12:00 AM,7.707063475196445E10,8.291724678560001E9,
8/25/19 at 12:15 AM,7.831044376312689E10,8.301357477442003E9,
8/25/19 at 12:30 AM,7.922530108640605E10,8.276607789018679E9,
8/25/19 at 12:45 AM,7.887309853520421E10,8.113807192446468E9,
8/25/19 at 1:00 AM,7.830789587588922E10,7.988394878371331E9,
8/25/19 at 1:15 AM,7.691183644792923E10,7.827000670719843E9,
8/25/19 at 1:30 AM,7.645802463670047E10,7.641027543388626E9,
8/25/19 at 1:45 AM,7.568846752148776E10,7.468115284779939E9,
8/25/19 at 2:00 AM,7.372176351385167E10,7.205463263000222E9,
8/25/19 at 2:15 AM,7.205787090458276E10,6.931799290710459E9,
8/25/19 at 2:30 AM,7.053891787603555E10,6.67008641616E9,
8/25/19 at 2:45 AM,6.69681861800889E10,6.443119893013334E9,
8/25/19 at 3:00 AM,6.556661568727112E10,6.27545066472E9,
8/25/19 at 3:15 AM,5.922367083299555E10,5.715331813377777E9,
8/25/19 at 3:30 AM,5.8920733690079994E10,5.713146983262222E9,
8/25/19 at 3:45 AM,5.626264887618667E10,5.4768315735644455E9,
8/25/19 at 4:00 AM,5.365861804624607E10,5.2387872463515415E9,
8/25/19 at 4:15 AM,4.1181345457702034E10,3.9778917108830547E9,
8/25/19 at 4:30 AM,4.132841870488433E10,4.095775683683941E9,
8/25/19 at 4:45 AM,4.279214737995555E10,4.2091113490933332E9,
8/25/19 at 5:00 AM,3.8694299276E10,3.949385532631111E9,
8/25/19 at 5:15 AM,3.537301240597983E10,3.7092660713444467E9,
8/25/19 at 5:30 AM,3.395030750854222E10,3.5228995285333333E9,
8/25/19 at 5:45 AM,3.2416965191715553E10,3.4410960611466665E9,
8/25/19 at 6:00 AM,3.1350101164026665E10,3.261674854097778E9,
8/25/19 at 6:15 AM,2.953074758092698E10,3.064457777896678E9,
8/25/19 at 6:30 AM,2.7797307710923325E10,2.9351012680472326E9,
8/25/19 at 6:45 AM,2.6476230744764442E10,2.892753777884444E9,
8/25/19 at 7:00 AM,2.543496636392E10,2.8303899221155553E9,
8/25/19 at 7:15 AM,2.5313035431493332E10,2.857648346097778E9,
8/25/19 at 7:30 AM,2.5121598342435555E10,2.6812864360177774E9,
8/25/19 at 7:45 AM,2.541790605792E10,2.6034203876088886E9,
8/25/19 at 8:00 AM,2.602396844857979E10,2.743189549159916E9,
8/25/19 at 8:15 AM,2.7073766236662636E10,2.8950550947377777E9,
8/25/19 at 8:30 AM,2.8393430036452446E10,3.0342419714632335E9,
8/25/19 at 8:45 AM,2.975131971134771E10,3.207435354557261E9,
