Time,- Gi- IGWs-Total In Bit Rate (bits / sec),- Gi- IGWs-Total Out Bit Rate (bits / sec),
8/24/19 at 9:15 AM,2.9250313145937775E10,3.026508606408889E9,
8/24/19 at 9:30 AM,3.06631693632E10,3.2461232212266665E9,
8/24/19 at 9:45 AM,3.2042988390417778E10,3.4254786083466663E9,
8/24/19 at 10:00 AM,3.3345519453484444E10,3.6960804566044445E9,
8/24/19 at 10:15 AM,3.5435400752449265E10,3.7890385507799535E9,
8/24/19 at 10:30 AM,3.714508787100444E10,3.8870516907999997E9,
8/24/19 at 10:45 AM,3.865896741947384E10,4.042248016564252E9,
8/24/19 at 11:00 AM,4.023385198140444E10,4.236571949617778E9,
8/24/19 at 11:15 AM,4.193447658837334E10,4.562314263484444E9,
8/24/19 at 11:30 AM,4.361901941472684E10,4.698089145500054E9,
8/24/19 at 11:45 AM,4.5051372894969124E10,4.866947002263756E9,
8/24/19 at 12:00 PM,4.6449122511759995E10,5.071809200195556E9,
8/24/19 at 12:15 PM,4.7893651903742226E10,5.207001445608889E9,
8/24/19 at 12:30 PM,4.894534166145778E10,5.374762892835555E9,
8/24/19 at 12:45 PM,4.975491236763361E10,5.550645191921026E9,
8/24/19 at 1:00 PM,5.053366004777659E10,5.614035511233182E9,
8/24/19 at 1:15 PM,5.068223734954666E10,5.648219668248889E9,
8/24/19 at 1:30 PM,5.176854918567111E10,5.627418941502222E9,
8/24/19 at 1:45 PM,5.352271794279111E10,5.953035919822222E9,
8/24/19 at 2:00 PM,5.4397406013111115E10,6.112042229573333E9,
8/24/19 at 2:15 PM,5.548755985752E10,6.1730484513955555E9,
8/24/19 at 2:30 PM,5.6390211775795555E10,6.256895584124445E9,
8/24/19 at 2:45 PM,5.720553268632001E10,6.381814759013333E9,
8/24/19 at 3:00 PM,5.751660284000889E10,6.396261727431111E9,
8/24/19 at 3:15 PM,5.812108768985779E10,6.470110772755556E9,
8/24/19 at 3:30 PM,5.82769990972E10,6.700500160613334E9,
8/24/19 at 3:45 PM,5.7779643511440414E10,6.56877197174426E9,
8/24/19 at 4:00 PM,5.7566322702062454E10,6.621638994898254E9,
8/24/19 at 4:15 PM,5.728593986274667E10,6.6388755984E9,
8/24/19 at 4:30 PM,5.6675079549075554E10,6.631265256106667E9,
8/24/19 at 4:45 PM,5.541521169756445E10,6.516661007448889E9,
8/24/19 at 5:00 PM,5.499143303552889E10,6.43742169048E9,
8/24/19 at 5:15 PM,5.496839345053333E10,6.509893054897778E9,
8/24/19 at 5:30 PM,5.560962098064797E10,6.521247891817289E9,
8/24/19 at 5:45 PM,5.584448174999111E10,6.579743284970471E9,
8/24/19 at 6:00 PM,5.587127603922667E10,6.513570768044445E9,
8/24/19 at 6:15 PM,5.5954860348240005E10,6.599421751004444E9,
8/24/19 at 6:30 PM,5.620006154768001E10,6.68715705752E9,
8/24/19 at 6:45 PM,5.6962577376702225E10,6.757549738248889E9,
8/24/19 at 7:00 PM,5.703923340783111E10,6.780568428782222E9,
8/24/19 at 7:15 PM,5.725044072839111E10,6.866686930568889E9,
8/24/19 at 7:30 PM,5.7145604800568886E10,6.849803024906667E9,
8/24/19 at 7:45 PM,5.786342299308328E10,6.890290337253481E9,
8/24/19 at 8:00 PM,5.942715807954666E10,6.905467733662222E9,
8/24/19 at 8:15 PM,6.1256361861981674E10,7.017324411408172E9,
8/24/19 at 8:30 PM,6.234027028704889E10,7.192235060115556E9,
8/24/19 at 8:45 PM,6.246437574432889E10,7.20790055248E9,
8/24/19 at 9:00 PM,6.3431775151680084E10,7.382635312483385E9,
8/24/19 at 9:15 PM,6.435817975766002E10,7.401439819033802E9,
8/24/19 at 9:30 PM,6.463321943699253E10,7.448814708797376E9,
8/24/19 at 9:45 PM,6.433570881382828E10,7.599874066480494E9,
8/24/19 at 10:00 PM,6.446889683374222E10,7.600885857564445E9,
8/24/19 at 10:15 PM,6.478395562695112E10,7.734715723173334E9,
8/24/19 at 10:30 PM,6.586831919339341E10,7.747014786848419E9,
8/24/19 at 10:45 PM,6.637693718983325E10,7.707375635348833E9,
8/24/19 at 11:00 PM,6.749133071882008E10,7.899303610156708E9,
8/24/19 at 11:15 PM,6.752153033546667E10,7.8057332601866665E9,
8/24/19 at 11:30 PM,6.803719341654222E10,7.784660455066667E9,
8/24/19 at 11:45 PM,6.8032098331288895E10,7.800126512382222E9,
8/25/19 at 12:00 AM,6.8481494620346664E10,7.8189597378133335E9,
8/25/19 at 12:15 AM,6.963119029676445E10,7.812781904302222E9,
8/25/19 at 12:30 AM,7.009902550202322E10,7.766389849037073E9,
8/25/19 at 12:45 AM,6.993083689094473E10,7.618213945236059E9,
8/25/19 at 1:00 AM,6.966255493846638E10,7.5256529769458065E9,
8/25/19 at 1:15 AM,6.867643401168889E10,7.36544018440889E9,
8/25/19 at 1:30 AM,6.852023212350166E10,7.194982153385292E9,
8/25/19 at 1:45 AM,6.787113657023111E10,6.999651689884444E9,
8/25/19 at 2:00 AM,6.6298653990240005E10,6.778381808835556E9,
8/25/19 at 2:15 AM,6.4707474287653336E10,6.526280638817778E9,
8/25/19 at 2:30 AM,6.338208755655231E10,6.2758528644073E9,
8/25/19 at 2:45 AM,5.471730654342289E10,5.491377289829064E9,
8/25/19 at 3:00 AM,5.2448531511164444E10,5.23462596704E9,
8/25/19 at 3:15 AM,5.350391031946667E10,5.382706272871111E9,
8/25/19 at 3:30 AM,5.346796801336E10,5.399127315982223E9,
8/25/19 at 3:45 AM,5.100120139860445E10,5.189493793955555E9,
8/25/19 at 4:00 AM,4.8496191412746666E10,4.947004844648889E9,
8/25/19 at 4:15 AM,4.516294220499555E10,4.575736121964445E9,
8/25/19 at 4:30 AM,4.1739091986755554E10,4.370170218293333E9,
8/25/19 at 4:45 AM,3.889586951799111E10,4.00045144184E9,
8/25/19 at 5:00 AM,3.513917847126788E10,3.7532504480369563E9,
8/25/19 at 5:15 AM,3.2187911873704807E10,3.5378869087316275E9,
8/25/19 at 5:30 AM,3.0881960219093334E10,3.3438009865600004E9,
8/25/19 at 5:45 AM,2.949887908096E10,3.2825640190311112E9,
8/25/19 at 6:00 AM,2.8450260005626667E10,3.095546686897778E9,
8/25/19 at 6:15 AM,2.6934010436213333E10,2.923671524284445E9,
8/25/19 at 6:30 AM,2.5329411150399933E10,2.8048777512883463E9,
8/25/19 at 6:45 AM,2.4103034984587418E10,2.7696078503578596E9,
8/25/19 at 7:00 AM,2.318610340006222E10,2.7126542597777777E9,
8/25/19 at 7:15 AM,2.3100914935066666E10,2.7401227450844445E9,
8/25/19 at 7:30 AM,2.2841964873555557E10,2.5595403907466664E9,
8/25/19 at 7:45 AM,2.3091323121955555E10,2.485642454888889E9,
8/25/19 at 8:00 AM,2.3615456361822224E10,2.621843418E9,
8/25/19 at 8:15 AM,2.4637520665844833E10,2.7648793577071104E9,
8/25/19 at 8:30 AM,2.5905130429789146E10,2.8976475502838807E9,
8/25/19 at 8:45 AM,2.7042749820284443E10,3.0526756768711114E9,
